ID,pageName,quotationNumber,ddlState,userId,saveDateTime,LOB,Classification,
170739,CAAdditionalNamedInsuredDetails,QQ4726210000,OH,Megan,50:28.6,Commercial Auto,Baked Goods,
170738,CAAdditionalNamedInsuredDetails,QQ4726210000,OH,Megan,50:23.9,Commercial Auto,Baked Goods,
170736,CAAdditionalNamedInsuredDetails,QQ4726210000,NY,Megan,50:01.2,Commercial Auto,Baked Goods,
170681,CAAdditionalNamedInsuredDetails,QQ1082010000,NY,Kaylah,39:32.4,Commercial Auto,DayCare Center,
170680,CAAdditionalNamedInsuredDetails,QQ1082010000,NY,Kaylah,39:31.3,Commercial Auto,DayCare Center,
170679,CAAdditionalNamedInsuredDetails,QQ1082010000,NY,Kaylah,38:33.1,Commercial Auto,DayCare Center,
170669,Mortgagee,QQ812210000,OH,Eden,26:48.5,Businessowners,Baked Goods,
170668,Mortgagee,QQ812210000,OH,Eden,26:45.8,Businessowners,Baked Goods,
170667,Mortgagee,QQ812210000,OH,Eden,26:42.1,Businessowners,Baked Goods,
170666,Mortgagee,QQ812210000,OH,Eden,26:41.9,Businessowners,Baked Goods,
170665,Mortgagee,QQ812210000,OH,Eden,26:40.9,Businessowners,Baked Goods,
170664,Mortgagee,QQ812210000,OH,Eden,26:40.6,Businessowners,Baked Goods,
170663,Mortgagee,QQ812210000,OH,Eden,26:17.4,Businessowners,Baked Goods,
170635,Mortgagee,QQ7668410000,NY,Nicholas,24:38.7,Businessowners,Water distribution,
170634,Mortgagee,QQ7668410000,NY,Nicholas,24:35.2,Businessowners,Water distribution,
170633,Mortgagee,QQ7668410000,NY,Nicholas,24:32.4,Businessowners,Water distribution,
170632,Mortgagee,QQ7668410000,NY,Nicholas,24:31.3,Businessowners,Water distribution,
170620,AdditionalNamedInsuredDetails,QQ812210000,OH,Eden,23:41.0,Businessowners,Baked Goods,
170612,AdditionalNamedInsuredDetails,QQ812210000,OH,Eden,23:09.8,Businessowners,Baked Goods,
170608,AdditionalNamedInsuredDetails,QQ812210000,NY,Eden,22:57.4,Businessowners,Baked Goods,
